name,domain,search_url,optout_url,country,method,requirements,notes,search_pattern,result_selector,detail_selector
"Collateral Analytics, LLC",mortgagetech.ice.com,https://www.mortgagetech.ice.com/search?q={query},https://mortgagetech.ice.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Collective Data Solutions,collectivedata.io,https://www.collectivedata.io/search?q={query},https://www.collectivedata.io/website-visitor-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Command Precision Inc.,persistent.id,https://www.persistent.id/search?q={query},https://www.persistent.id/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
COMMERCIAL REAL ESTATE EXCHANGE Inc,crexi.com,https://www.crexi.com/search?q={query},https://www.crexi.com/privacy,US,government,"name, email",Data broker registered in US state registries,,,
"Compile, Inc.",compile.com,https://www.compile.com/search?q={query},https://mckessoncompile.com/privacy-notice?hsLang=en,US,form,"name, email",Data broker registered in US state registries,,,
Complementics,complementics.com,https://www.complementics.com/search?q={query},https://www.complementics.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Complete Mailing Lists,completemailinglists.com,https://www.completemailinglists.com/search?q={query},https://www.completemailinglists.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
COMPLETE MEDICAL LISTS Inc,completemedicallists.com,https://www.completemedicallists.com/search?q={query},https://www.completemedicallists.com/privacy.php,US,form,"name, email",Data broker registered in US state registries,,,
"Comscore, Inc.",comscore.com,https://www.comscore.com/search?q={query},https://www.comscore.com/About/Privacy-Policy,US,form,"name, email",Data broker registered in US state registries,,,
"Confi-Chek, Inc.",peoplefinders.com,https://www.peoplefinders.com/search?q={query},https://www.peoplefinders.com/about/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Connect Computer LLC,calltruth.com,https://www.calltruth.com/search?q={query},https://calltruth.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Connected Investors,connectedinvestors.com,https://www.connectedinvestors.com/search?q={query},https://www.connectedinvestors.com/content/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Connext Digital, LLC",connextdigital.com,https://www.connextdigital.com/search?q={query},https://www.connextdigital.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Consider, Inc.",consider.com,https://www.consider.com/search?q={query},https://consider.com/legal/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Consumerbase LLC,exactdata.com,https://www.exactdata.com/search?q={query},https://www.exactdata.com/privacy-policy.html,US,form,"name, email",Data broker registered in US state registries,,,
Contactout,contactout.com,https://www.contactout.com/search?q={query},https://contactout.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Contemporary Information Corp,cicreports.com,https://www.cicreports.com/search?q={query},https://www.cicreports.com/legal-and-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
